日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值,成交笔数
2018-05-11,'000002,万 科Ａ,27.94,28.19,27.73,28.1,28.07,-0.13,-0.4631,0.3273,31830373,889939605.79,3.08433906908e+11,2.71694051132e+11,27855
2018-05-10,'000002,万 科Ａ,28.07,28.53,27.7,28.32,28.2,-0.13,-0.461,0.4418,42963957,1204133432.35,3.09868996668e+11,2.72958196681e+11,44065
2018-05-09,'000002,万 科Ａ,28.2,28.5,28.0,28.5,28.69,-0.49,-1.7079,0.4206,40903079,1152922298.07,3.11304086428e+11,2.74222342231e+11,44467
2018-05-08,'000002,万 科Ａ,28.69,28.86,27.33,27.4,27.38,1.31,4.7845,0.6744,65581753,1857899321.83,3.16713270909e+11,2.78987198532e+11,70584
2018-05-07,'000002,万 科Ａ,27.38,27.51,26.72,27.01,26.91,0.47,1.7466,0.42,40845367,1110387754.22,3.02251981787e+11,2.66248501074e+11,46156
2018-05-04,'000002,万 科Ａ,26.91,27.56,26.81,27.26,27.33,-0.42,-1.5368,0.4374,42538360,1154814762.5,2.97063580347e+11,2.61678128703e+11,42988
2018-05-03,'000002,万 科Ａ,27.33,27.66,26.56,27.65,27.68,-0.35,-1.2645,0.5578,54241986,1466857435.76,3.01700024187e+11,2.65762291247e+11,58870
2018-05-02,'000002,万 科Ａ,27.68,28.66,27.63,28.4,28.4,-0.72,-2.5352,0.4084,39717081,1111292763.47,3.05563727388e+11,2.69165760033e+11,47481
2018-04-27,'000002,万 科Ａ,28.4,28.75,27.42,28.66,28.5,-0.1,-0.3509,0.3928,38195829,1071392412.06,3.13511916828e+11,2.76167181537e+11,45407
2018-04-26,'000002,万 科Ａ,28.5,30.3,28.26,30.3,30.12,-1.62,-5.3785,0.8353,81226255,2348260646.23,3.14615832028e+11,2.7713960119e+11,85628
2018-04-25,'000002,万 科Ａ,30.12,30.65,29.96,30.65,30.93,-0.81,-2.6188,0.409,39768418,1199524613.67,3.3249925827e+11,2.92892799574e+11,41364
2018-04-24,'000002,万 科Ａ,30.93,31.1,29.8,29.85,29.91,1.02,3.4102,0.4832,46983212,1447945429.72,3.41440971391e+11,3.00769398766e+11,49279
2018-04-23,'000002,万 科Ａ,29.91,30.29,29.79,29.88,30.15,-0.24,-0.796,0.2074,20171425,605310890.79,3.3018103635e+11,2.90850718302e+11,24772
2018-04-20,'000002,万 科Ａ,30.15,30.5,29.92,30.18,30.23,-0.08,-0.2646,0.262,25479546,769678456.1,3.3283043283e+11,2.9318452547e+11,26167
2018-04-19,'000002,万 科Ａ,30.23,30.53,30.03,30.33,30.04,0.19,0.6325,0.2635,25627525,776421774.43,3.3371356499e+11,2.93962461193e+11,31527
2018-04-18,'000002,万 科Ａ,30.04,30.69,29.74,30.29,29.92,0.12,0.4011,0.3382,32883533,989193213.31,3.3161612611e+11,2.92114863851e+11,39107
2018-04-17,'000002,万 科Ａ,29.92,30.55,29.6,30.16,30.03,-0.11,-0.3663,0.2655,25819772,775976183.56,3.3029142787e+11,2.90947960267e+11,36860
2018-04-16,'000002,万 科Ａ,30.03,31.23,29.56,31.2,31.25,-1.22,-3.904,0.543,52806865,1588112260.86,3.3150573459e+11,2.92017621886e+11,74275
2018-04-13,'000002,万 科Ａ,31.25,32.24,31.03,32.16,31.85,-0.6,-1.8838,0.3615,35157261,1102968777.4,3.44973500031e+11,3.03881141656e+11,50340
2018-04-12,'000002,万 科Ａ,31.85,32.86,31.75,32.57,32.61,-0.76,-2.3306,0.3447,33521999,1079000357.15,3.51596991232e+11,3.09715659576e+11,41766
2018-04-11,'000002,万 科Ａ,32.61,33.24,31.73,32.15,32.18,0.43,1.3362,0.4997,48593043,1578103542.74,3.59986746753e+11,3.17106048941e+11,51541
2018-04-10,'000002,万 科Ａ,32.18,32.18,31.06,31.52,31.62,0.56,1.771,0.4907,47714543,1517032390.27,3.55239911392e+11,3.12924644432e+11,49207
2018-04-09,'000002,万 科Ａ,31.62,32.76,30.96,32.7,32.8,-1.18,-3.5976,0.4917,47811940,1510647265.58,3.49057986272e+11,3.07479094373e+11,59282
2018-04-04,'000002,万 科Ａ,32.8,33.95,32.1,32.3,33.64,-0.84,-2.497,0.6011,58450965,1927433704.98,3.62084185633e+11,3.18953646282e+11,58149
2018-04-03,'000002,万 科Ａ,33.64,34.1,32.52,33.2,33.49,0.15,0.4479,0.4442,43194571,1440337637.2,3.71357073314e+11,3.2712197137e+11,54194
2018-04-02,'000002,万 科Ａ,33.49,34.47,33.32,33.65,33.29,0.2,0.6008,0.5467,53163565,1801173138.13,3.69701200513e+11,3.2566334189e+11,60725
2018-03-30,'000002,万 科Ａ,33.29,33.99,33.17,33.7,34.16,-0.87,-2.5468,0.5889,57269205,1918089360.44,3.67493370113e+11,3.23718502584e+11,64902
2018-03-29,'000002,万 科Ａ,34.16,34.46,31.03,31.54,31.33,2.83,9.0329,1.0281,99970072,3311802728.77,3.77097432354e+11,3.32178553567e+11,115189
2018-03-28,'000002,万 科Ａ,31.33,32.15,30.3,30.51,31.02,0.31,0.9994,0.4388,42672897,1341512917.72,3.45856632191e+11,3.04659077379e+11,50186
2018-03-27,'000002,万 科Ａ,31.02,31.87,30.71,30.89,30.33,0.69,2.275,0.5953,57885391,1803144937.13,3.42434495071e+11,3.01644576454e+11,58721
2018-03-26,'000002,万 科Ａ,30.33,30.79,29.9,30.76,31.07,-0.74,-2.3817,0.3479,33828896,1021310971.89,3.3481748019e+11,2.94934880846e+11,44416
2018-03-23,'000002,万 科Ａ,31.07,31.07,29.21,30.02,31.18,-0.11,-0.3528,0.5195,50512539,1527314429.44,3.42986452671e+11,3.0213078628e+11,51533
